iteration,model,problem,condition,response,timestamp
1,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
2,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
3,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,A,5/17/26 18:11
4,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
5,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
6,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
7,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
8,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
9,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
10,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
11,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
12,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
13,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
14,gpt-5.5,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,5/17/26 18:11
15,gpt-5.5,tent_project_wastefulness,no_waste,B,5/17/26 18:11
16,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
17,gpt-5.5,problem_2_calculator_jacket,condition_2_expensive_calculator,B,5/17/26 18:11
18,gpt-5.5,problem_3_theater_ticket,condition_1_lost_bill,A,5/17/26 18:11
19,gpt-5.5,problem_18_basketball_sunk_cost,condition_2_free_ticket,B,5/17/26 18:11
20,gpt-5.5,tent_project_wastefulness,waste,B,5/17/26 18:11
21,gpt-5.5,problem_1_risk_attitudes,condition_1_gain,A,5/17/26 18:11
22,gpt-5.5,problem_2_calculator_jacket,condition_1_cheap_calculator,A,5/17/26 18:11
23,gpt-5.5,problem_3_theater_ticket,condition_2_lost_ticket,B,5/17/26 18:11
