iteration,model,problem,condition,response,timestamp
1,deepseek-v4-pro,problem_1_risk_attitudes,condition_1_gain,A,2026-05-16 22:37
2,deepseek-v4-pro,problem_2_calculator_jacket,condition_1_cheap_calculator,B,2026-05-16 22:37
3,deepseek-v4-pro,problem_3_theater_ticket,condition_2_lost_ticket,B,2026-05-16 22:37
4,deepseek-v4-pro,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,2026-05-16 22:37
5,deepseek-v4-pro,tent_project_wastefulness,waste,B,2026-05-16 22:37
6,deepseek-v4-pro,problem_1_risk_attitudes,condition_2_loss,B,2026-05-16 22:37
7,deepseek-v4-pro,problem_2_calculator_jacket,condition_2_expensive_calculator,B,2026-05-16 22:37
8,deepseek-v4-pro,problem_3_theater_ticket,condition_2_lost_ticket,B,2026-05-16 22:37
9,deepseek-v4-pro,problem_18_basketball_sunk_cost,condition_1_paid_ticket,B,2026-05-16 22:37
10,deepseek-v4-pro,tent_project_wastefulness,no_waste,B,2026-05-16 22:37
